TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL,WAPRICE
MICEXINDEXCF,2014-03-03,1438.02,1438.02,1261.76,1288.81,,
MICEXINDEXCF,2014-03-04,1288.78,1365.23,1288.78,1356.54,,
MICEXINDEXCF,2014-03-05,1356.27,1364.25,1330.61,1351.11,,
MICEXINDEXCF,2014-03-06,1351.5,1370.56,1301.96,1337.98,,
MICEXINDEXCF,2014-03-07,1337.5,1359.45,1322.08,1339.36,,
MICEXINDEXCF,2014-03-11,1338.5,1338.5,1304.35,1308.7,,
MICEXINDEXCF,2014-03-12,1307.08,1307.08,1271.74,1274.21,,
MICEXINDEXCF,2014-03-13,1274.24,1285.93,1247.7,1248.56,,
MICEXINDEXCF,2014-03-14,1248.29,1248.29,1182.86,1237.43,,
MICEXINDEXCF,2014-03-17,1237.52,1288.34,1237.52,1283.7,,
MICEXINDEXCF,2014-03-18,1285.53,1340.16,1278.76,1335.86,,
MICEXINDEXCF,2014-03-19,1335.84,1352.68,1312.5,1319.02,,
MICEXINDEXCF,2014-03-20,1316.67,1325.61,1302.68,1320.5,,
MICEXINDEXCF,2014-03-21,1320.12,1320.12,1270.55,1307.34,,
MICEXINDEXCF,2014-03-24,1307.34,1332.95,1297.76,1297.91,,
MICEXINDEXCF,2014-03-25,1297.9,1332.86,1288.97,1324.44,,
MICEXINDEXCF,2014-03-26,1324.51,1359.88,1324.51,1349.39,,
MICEXINDEXCF,2014-03-27,1347.83,1351.71,1321.19,1331.93,,
MICEXINDEXCF,2014-03-28,1333.01,1353.88,1330.46,1344.12,,
MICEXINDEXCF,2014-03-31,1344.15,1369.29,1343.27,1369.29,,
MICEXINDEXCF,2014-04-01,1369.32,1378.55,1359.58,1375.73,,
MICEXINDEXCF,2014-04-02,1375.97,1379.88,1358.46,1373.33,,
MICEXINDEXCF,2014-04-03,1373.57,1382.08,1360.49,1366.04,,
MICEXINDEXCF,2014-04-04,1366.43,1388,1361.61,1382.41,,
MICEXINDEXCF,2014-04-07,1380.15,1380.15,1334.86,1349.79,,
MICEXINDEXCF,2014-04-08,1349.85,1352.45,1334.63,1352.33,,
MICEXINDEXCF,2014-04-09,1353.18,1355.77,1337.98,1348.85,,
MICEXINDEXCF,2014-04-10,1348.77,1367.88,1348.21,1367.71,,
MICEXINDEXCF,2014-04-11,1367.65,1371.12,1346.03,1362.4,,
MICEXINDEXCF,2014-04-14,1362.04,1362.1,1336.98,1344.86,,
MICEXINDEXCF,2014-04-15,1344.18,1347.88,1308.86,1311.01,,
MICEXINDEXCF,2014-04-16,1310.98,1326.2,1300.75,1322.6,,
MICEXINDEXCF,2014-04-17,1322.67,1336.24,1310.92,1329.67,,
MICEXINDEXCF,2014-04-18,1330.57,1362.46,1330.57,1356.54,,
MICEXINDEXCF,2014-04-21,1356.48,1359.21,1342.38,1345.04,,
MICEXINDEXCF,2014-04-22,1345,1345.19,1327.04,1335.62,,
MICEXINDEXCF,2014-04-23,1335.65,1335.65,1324.21,1329.11,,
MICEXINDEXCF,2014-04-24,1329.1,1334.32,1289.85,1300.54,,
MICEXINDEXCF,2014-04-25,1300.53,1300.53,1277.92,1280.12,,
MICEXINDEXCF,2014-04-28,1278.12,1302.13,1260.39,1299.13,,
MICEXINDEXCF,2014-04-29,1300.83,1318.36,1298.66,1304.78,,
MICEXINDEXCF,2014-04-30,1304.76,1309.53,1296.24,1306.01,,
MICEXINDEXCF,2014-05-02,1304.93,1306.44,1292.08,1304.84,,
MICEXINDEXCF,2014-05-05,1302.99,1306.43,1289.8,1298.29,,
MICEXINDEXCF,2014-05-06,1299.07,1321.49,1299.07,1318.57,,
MICEXINDEXCF,2014-05-07,1316.74,1379.42,1312.62,1363.48,,
MICEXINDEXCF,2014-05-08,1364.29,1383.84,1355.34,1371.42,,
MICEXINDEXCF,2014-05-12,1372.09,1383.99,1362.93,1375.31,,
MICEXINDEXCF,2014-05-13,1375.56,1395.22,1375.56,1385.29,,
MICEXINDEXCF,2014-05-14,1385.27,1389.21,1378.39,1389.11,,
MICEXINDEXCF,2014-05-15,1388.68,1399.52,1381.2,1381.99,,
MICEXINDEXCF,2014-05-16,1381.44,1392.3,1374.24,1392.3,,
MICEXINDEXCF,2014-05-19,1392.51,1418.88,1392.42,1413.85,,
MICEXINDEXCF,2014-05-20,1413.86,1426.1,1406.85,1425.58,,
MICEXINDEXCF,2014-05-21,1425.57,1441.93,1415.28,1439.9,,
